parent,hd_url,hd_price,wayfair url,wayfair price,menards url,menard price,overstock url,overstock price,houzz url,houzz price
LS-AZ086,http://www.homedepot.com/p/ANZZI-Forza-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Frosted-LS-AZ086/206730332,$90.00,https://www.wayfair.com/show_detail.php?sku=ANZI1022,$90.00,http://www.menards.com/main/p-1482823193594.html,$90.00,,,http://www.houzz.com/viewSpace/78600453/lid=61452881,$66.67
LS-AZ048,http://www.homedepot.com/p/ANZZI-Soave-Series-Deco-Glass-Vessel-Sink-in-Sapphire-Wisp-LS-AZ048/206730343,$136.00,https://www.wayfair.com/show_detail.php?sku=ANZI1593,$136.00,,,,,http://www.houzz.com/viewSpace/78600509/lid=61452902,$100.74
LS-AZ027,http://www.homedepot.com/p/ANZZI-Clavier-Series-Vessel-Sink-in-Lustrous-Blue-LS-AZ027/206730325,$100.00,https://www.wayfair.com/show_detail.php?sku=ANZI1505,$100.00,http://www.menards.com/main/p-1482823193447.html,$100.00,,,http://www.houzz.com/viewSpace/78600113/lid=61452676,$74.07
LS-AZ048,http://www.homedepot.com/p/ANZZI-Soave-Series-Deco-Glass-Vessel-Sink-in-Sapphire-Wisp-LS-AZ048/206730343,$136.00,https://www.wayfair.com/show_detail.php?sku=ANZI1593,$136.00,,,,,http://www.houzz.com/viewSpace/78600509/lid=61452902,$100.74
LS-AZ027,http://www.homedepot.com/p/ANZZI-Clavier-Series-Vessel-Sink-in-Lustrous-Blue-LS-AZ027/206730325,$100.00,https://www.wayfair.com/show_detail.php?sku=ANZI1505,$100.00,http://www.menards.com/main/p-1482823193447.html,$100.00,,,http://www.houzz.com/viewSpace/78600113/lid=61452676,$74.07
LS-AZ087,http://www.homedepot.com/p/ANZZI-Etude-Series-Vessel-Sink-in-Lustrous-Clear-LS-AZ087/206730330,$83.00,https://www.wayfair.com/show_detail.php?sku=ANZI1024,$83.00,http://www.menards.com/main/p-1482823193530.html,$83.00,,,http://www.houzz.com/viewSpace/78600003/lid=61452620,$61.48
LS-AZ086,http://www.homedepot.com/p/ANZZI-Forza-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Frosted-LS-AZ086/206730332,$90.00,https://www.wayfair.com/show_detail.php?sku=ANZI1022,$90.00,http://www.menards.com/main/p-1482823193594.html,$90.00,,,http://www.houzz.com/viewSpace/78600453/lid=61452881,$66.67
LS-AZ059,http://www.homedepot.com/p/ANZZI-Ritmo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Translucent-Red-LS-AZ059/206730354,$99.00,https://www.wayfair.com/show_detail.php?sku=ANZI1066,$99.00,http://www.menards.com/main/p-1482823193489.html,$99.00,,,http://www.houzz.com/viewSpace/78600188/lid=61452726,$73.33
LS-AZ059,http://www.homedepot.com/p/ANZZI-Ritmo-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Translucent-Red-LS-AZ059/206730354,$99.00,https://www.wayfair.com/show_detail.php?sku=ANZI1066,$99.00,http://www.menards.com/main/p-1482823193489.html,$99.00,,,http://www.houzz.com/viewSpace/78600188/lid=61452726,$73.33
LS-AZ086,http://www.homedepot.com/p/ANZZI-Forza-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Frosted-LS-AZ086/206730332,$90.00,https://www.wayfair.com/show_detail.php?sku=ANZI1022,$90.00,http://www.menards.com/main/p-1482823193594.html,$90.00,,,http://www.houzz.com/viewSpace/78600453/lid=61452881,$66.67
LS-AZ027,http://www.homedepot.com/p/ANZZI-Clavier-Series-Vessel-Sink-in-Lustrous-Blue-LS-AZ027/206730325,$100.00,https://www.wayfair.com/show_detail.php?sku=ANZI1505,$100.00,http://www.menards.com/main/p-1482823193447.html,$100.00,,,http://www.houzz.com/viewSpace/78600113/lid=61452676,$74.07
