sku,hd_url,hd_price,wayfair url,wayfair price,menards url,menard price,overstock url,overstock price,houzz url,houzz price
LSAZ066-097B,,,https://www.wayfair.com/show_detail.php?sku=ANZI1398,,http://www.menards.com/main/p-1482823193752.html,$220.00,https://www.overstock.com/Home-Garden/ANZZI-Cansa-Series-Rich-Timber-Deco-Glass-Vessel-Sink-with-Fann-Brushed-Nickel-Faucet/13777425/product.html?keywords=20429981&searchtype=Header,$220.00,http://www.houzz.com/viewSpace/78603058/lid=61454848,$162.96
LSAZ074-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560458/lid=62182669,$152.59
LSAZ074-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560479/lid=62182693,$152.59
LSAZ074-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560492/lid=62182705,$155.56
LSAZ087-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561009/lid=62183255,$140.00
MIR06,,,,,,,,,http://www.houzz.com/viewSpace/78591144/lid=61445016,$287.86
LSAZ052-096B,http://www.homedepot.com/p/ANZZI-Mesto-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Translucent-Gold-with-Enti-Faucet-in-Brushed-Nickel-LSAZ052-096B/206951532,$206.00,https://www.wayfair.com/show_detail.php?sku=ANZI1349,$206.00,http://www.menards.com/main/p-1482823193612.html,$206.00,https://www.overstock.com/Home-Garden/ANZZI-Mesto-Series-Lustrous-Translucent-Gold-Deco-Glass-Vessel-Sink-with-Enti-Brushed-Nickel-Faucet/13777461/product.html?keywords=20430011&searchtype=Header,$206.00,http://www.houzz.com/viewSpace/78602935/lid=61454765,$152.59
LSAZ075-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560515/lid=62182728,$152.59
LSAZ076-097,http://www.homedepot.com/p/ANZZI-Major-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Green-with-Key-Faucet-in-Polished-Chrome-LSAZ076-097/206951544,$209.00,https://www.wayfair.com/show_detail.php?sku=ANZI1437,$209.00,http://www.menards.com/main/p-1482823193827.html,$209.00,https://www.overstock.com/Home-Garden/ANZZI-Major-Series-Lustrous-Green-Deco-Glass-Vessel-Sink-with-Key-Polished-Chrome-Faucet/13777509/product.html?keywords=20430042&searchtype=Header,$209.00,http://www.houzz.com/viewSpace/78602768/lid=61454652,$154.81
LSAZ075-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560544/lid=62182756,$152.59
LSAZ075-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560562/lid=62182775,$154.81
LSAZ076-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560588/lid=62182800,$136.30
LSAZ076-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560611/lid=62182825,$136.30
LSAZ076-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560632/lid=62182847,$154.81
LSAZ052-096,http://www.homedepot.com/p/ANZZI-Mesto-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Translucent-Gold-with-Enti-Faucet-in-Polished-Chrome-LSAZ052-096/206951500,$200.00,https://www.wayfair.com/show_detail.php?sku=ANZI1349,$200.00,http://www.menards.com/main/p-1482823193709.html,$200.00,https://www.overstock.com/Home-Garden/ANZZI-Mesto-Series-Lustrous-Translucent-Gold-Deco-Glass-Vessel-Sink-with-Enti-Polished-Chrome-Faucet/13777460/product.html?keywords=20430010&searchtype=Header,$200.00,http://www.houzz.com/viewSpace/78602972/lid=61454781,$148.15
LSAZ077-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560664/lid=62182884,$134.81
LSAZ077-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560687/lid=62182909,$134.81
LSAZ077-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560718/lid=62182941,$154.81
LSAZ079-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560747/lid=62182968,$140.74
FR-AZ174,http://www.homedepot.com/p/ANZZI-Cove-Series-2-Handle-Deck-Mount-Roman-Tub-Faucet-with-Handheld-Sprayer-in-Polished-Chrome-FR-AZ174/206730278,$380.00,https://www.wayfair.com/show_detail.php?sku=ANZI1104,$380.00,http://www.menards.com/main/p-1482823192926.html,$380.00,,,http://www.houzz.com/viewSpace/78598561/lid=61451512,$281.48
LSAZ083-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560838/lid=62183062,$137.78
LSAZ083-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560858/lid=62183086,$137.78
LSAZ083-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560874/lid=62183101,$154.81
LSAZ052-095B,http://www.homedepot.com/p/ANZZI-Mesto-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Translucent-Gold-with-Harmony-Faucet-in-Brushed-Nickel-LSAZ052-095B/206951665,$206.00,https://www.wayfair.com/show_detail.php?sku=ANZI1348,$206.00,http://www.menards.com/main/p-1482823193659.html,$206.00,https://www.overstock.com/Home-Garden/ANZZI-Mesto-Series-Lustrous-Translucent-Gold-Deco-Glass-Vessel-Sink-with-Harmony-Brushed-Nickel-Faucet/13777459/product.html?keywords=20430009&searchtype=Header,$206.00,http://www.houzz.com/viewSpace/78602948/lid=61454769,$152.59
LSAZ079-097B,,,https://www.wayfair.com/show_detail.php?sku=ANZI1521,,http://www.menards.com/main/p-1482823193811.html,$219.00,https://www.overstock.com/Home-Garden/Anzzi-Alto-Series-Deco-glass-Vessel-Sink-in-Lustrous-Brown-with-Fann-Faucet-in-Brushed-Nickel/13777431/product.html?keywords=20429986&searchtype=Header,$219.00,http://www.houzz.com/viewSpace/78603037/lid=61454829,$162.22
LSAZ085-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560946/lid=62183189,$137.78
LSAZ086-041,http://www.homedepot.com/p/ANZZI-Forza-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Frosted-with-Fann-Faucet-in-Chrome-LSAZ086-041/206951582,$186.00,https://www.wayfair.com/show_detail.php?sku=ANZI1149,$186.00,http://www.menards.com/main/p-1482823193867.html,$186.00,https://www.overstock.com/Home-Garden/ANZZI-Forza-Series-Lustrous-Frosted-Deco-Glass-Vessel-Sink-with-Fann-Chrome-Faucet/13777885/product.html?keywords=20430382&searchtype=Header,$186.00,http://www.houzz.com/viewSpace/78601561/lid=61453848,$137.78
LSAZ086-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560961/lid=62183206,$137.78
LSAZ086-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560977/lid=62183223,$137.78
LSAZ086-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79560990/lid=62183239,$137.78
LSAZ087-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561025/lid=62183270,$140.00
LSAZ087-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561046/lid=62183289,$147.41
LSAZ053-040,http://www.homedepot.com/p/ANZZI-Assai-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Blue-with-Fann-Faucet-in-Polished-Chrome-LSAZ053-040/206951816,$225.00,https://www.wayfair.com/show_detail.php?sku=ANZI1351,$225.00,http://www.menards.com/main/p-1482823193646.html,$215.00,https://www.overstock.com/Home-Garden/ANZZI-Assai-Series-Lustrous-Blue-Deco-Glass-Vessel-Sink-with-Fann-Polished-Chrome-Faucet/13777457/product.html?keywords=20430007&searchtype=Header,$215.00,http://www.houzz.com/viewSpace/78602938/lid=61454767,$159.26
LSAZ602-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561088/lid=62183326,$250.37
LSAZ602-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561114/lid=62183348,$250.37
LSAZ602-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561132/lid=62183370,$250.37
MIR09,,,,,,,,,http://www.houzz.com/viewSpace/34813406/lid=20439520,$
LSAZ602-096B,http://www.homedepot.com/p/ANZZI-Passage-Series-1-Piece-Man-Made-Stone-Vessel-Sink-in-Matte-White-with-Enti-Faucet-in-Brushed-Nickel-LSAZ602-096B/206951503,$338.00,https://www.wayfair.com/show_detail.php?sku=ANZI1033,$338.00,http://www.menards.com/main/p-1482823193801.html,$338.00,,,http://www.houzz.com/viewSpace/78602291/lid=61454304,$250.37
LSAZ053-041,http://www.homedepot.com/p/ANZZI-Assai-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Blue-with-Fann-Faucet-in-Chrome-LSAZ053-041/206951617,$215.00,https://www.wayfair.com/show_detail.php?sku=ANZI1351,$215.00,http://www.menards.com/main/p-1482823193684.html,$215.00,https://www.overstock.com/Home-Garden/ANZZI-Assai-Series-Lustrous-Blue-Deco-Glass-Vessel-Sink-with-Fann-Chrome-Faucet/13777456/product.html?keywords=20430006&searchtype=Header,$215.00,http://www.houzz.com/viewSpace/78602925/lid=61454760,$159.26
LSAZ607-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561193/lid=62183425,$250.37
LSAZ607-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561212/lid=62183441,$250.37
LSAZ608-095-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561236/lid=62183465,$250.37
LSAZ608-096-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561256/lid=62183482,$250.37
LSAZ608-097-PAR,,,,,,,,,http://www.houzz.com/viewSpace/79561281/lid=62183504,$250.37
MIR02,,,,,,,,,http://www.houzz.com/viewSpace/34813400/lid=20439514,$
LSAZ607-096,http://www.homedepot.com/p/ANZZI-Vaine-1-Piece-Man-Made-Stone-Vessel-Sink-in-Matte-White-with-Enti-Faucet-in-Chrome-LSAZ607-096/206951674,$338.00,https://www.wayfair.com/show_detail.php?sku=ANZI1415,$338.00,http://www.menards.com/main/p-1482823193820.html,$338.00,,,http://www.houzz.com/viewSpace/78602338/lid=61454336,$250.37
OA1200BN-par,,,,,,,,,http://www.houzz.com/viewSpace/35110192/lid=20704569,"$1,514.00"
